c_number	mpn	row_text
C20615778	H3V3L06B	H3V3L06B | C20615778 | Extended | -55℃~+125℃ 10V 12pF 200nA 3.3V 6V 80W@8/20us 8A@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN0603-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 3032 | 1+ | 15000+ | $0.0068 | Show More | Min: 1 | Full Reel: 15000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615779	H5VN06B	H5VN06B | C20615779 | Extended | -55℃~+125℃ 100W@8/20us 12.5V 15pF 500nA 5V 8A@8/20us 9V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN0603-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 6821 | 1+ | 15000+ | $0.0066 | Show More | Min: 1 | Full Reel: 15000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615780	H5VU06B	H5VU06B | C20615780 | Extended | -55℃~+125℃ 0.5pF 125W@8/20us 200nA 25V 5A@8/20us 5V 9V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN0603-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 14837 | 1+ | 15000+ | $0.0106 | Show More | Min: 1 | Full Reel: 15000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615781	H3V3L10B	H3V3L10B | C20615781 | Extended | -55℃~+155℃ 11V 20pF 3.3V 5.5V 500nA 85W@8/20us 8A@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 1185332 | 1+ | 10000+ | $0.0067 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615782	H3V3U10B	H3V3U10B | C20615782 | Extended | -55℃~+125℃ 0.3pF 125W@8/20us 200nA 25V 3.3V 5A@8/20us 6V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 108909 | 1+ | 10000+ | $0.0152 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615783	H4V5N10B	H4V5N10B | C20615783 | Extended | -55℃~+125℃ 100nA 11V 4.5V 45A@8/20us 560W@8/20us 60pF 7.5V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 126610 | 1+ | 10000+ | $0.0109 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615784	H5VL10BC	H5VL10BC | C20615784 | Extended | -55℃~+125℃ 100nA 12V 12pF 5V 8A@8/20us 95W@8/20us 9V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 97919 | 1+ | 10000+ | $0.0046 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615785	H5VS10BC	H5VS10BC | C20615785 | Extended | -55℃~+125℃ 10V 12V 2.5pF 200nA 25W@8/20us 2A@8/20us 5V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 2825 | 1+ | 10000+ | $0.0059 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615786	H5VU10BB	H5VU10BB | C20615786 | Extended | -55℃~+125℃ 0.3pF 10V 120W@8/20us 200nA 24V 5A@8/20us 5V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 36738 | 1+ | 10000+ | $0.0105 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615787	H7VL10B	H7VL10B | C20615787 | Extended | -55℃~+155℃ 10V 12A@8/20us 16.7V 200W@8/20us 200nA 20pF 7V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 1991 | 1+ | 10000+ | $0.0077 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615788	H7VN10B	H7VN10B | C20615788 | Extended | -55℃~+125℃ 200nA 22pF 6A@8/20us 7V 80W@8/20us 9.6V 9V、14V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 5929 | 1+ | 10000+ | $0.0071 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615790	H12VL10B	H12VL10B | C20615790 | Extended | -55℃~+125℃ 12V 12pF 15.8V 200W@8/20us 200nA 25.5V 8A@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 413117 | 1+ | 10000+ | $0.0068 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615791	H15VL10B	H15VL10B | C20615791 | Extended | -55℃~+125℃ 15V 19.5V 200nA 20pF 320W@8/20us 40V 8A@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 20316 | 1+ | 10000+ | $0.0095 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615792	H15VU10B	H15VU10B | C20615792 | Extended | -55℃~+125℃ 0.3pF 15V 2.5A@8/20us 200nA 21.5V 35V 90W@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 932 | 1+ | 10000+ | $0.0110 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615793	H18VU10B	H18VU10B | C20615793 | Extended | -55℃~+125℃ 0.6pF 18V 2.5A@8/20us 20.5V 200nA 33V 80W@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 9345 | 1+ | 10000+ | $0.0114 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615820	H5VUD5BB	H5VUD5BB | C20615820 | Extended | -55℃~+125℃ 0.3pF 10V 125W@8/20us 200nA 25V 5A@8/20us 5V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOD-523 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 263142 | 1+ | 8000+ | $0.0163 | Show More | Min: 1 | Full Reel: 8000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615821	H7VND5U	H7VND5U | C20615821 | Extended | -55℃~+125℃ 175W@8/20us 1uA 22V 65pF 7V 8A@8/20us 9.5V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOD-523 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 20550 | 1+ | 8000+ | $0.0099 | Show More | Min: 1 | Full Reel: 8000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615822	H36VND5U	H36VND5U | C20615822 | Extended | -55℃~+125℃ 200nA 260W@8/20us 30pF 36V 45V 4A@8/20us 65V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOD-523 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 13654 | 1+ | 8000+ | $0.0104 | Show More | Min: 1 | Full Reel: 8000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615823	H5VHT2U	H5VHT2U | C20615823 | Extended | -55℃~+125℃ 14V 180pF 200nA 25A@8/20us 350W@8/20us 5V 9V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 9790 | 1+ | 3000+ | $0.0151 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615824	H5VUT2U	H5VUT2U | C20615824 | Extended | -55℃~+125℃ 0.3pF、0.6pF 16V 200nA 5A@8/20us 5V 80W@8/20us 9V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 19020 | 1+ | 3000+ | $0.0171 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615825	H8VNT2B	H8VNT2B | C20615825 | Extended | -55℃~+125℃ 12V 1uA 20A@8/20us 25V 500W@8/20us 60pF 8V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 62311 | 1+ | 3000+ | $0.0248 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615826	H12VNT2U	H12VNT2U | C20615826 | Extended | -55℃~+125℃ 1.26kW@8/20us 12V 16V 1uA 35A@8/20us 36V 60pF ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 13772 | 1+ | 3000+ | $0.0120 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615827	H24VNT2B	H24VNT2B | C20615827 | Extended | -55℃~+125℃ 1uA 24V 30V 36pF 385W@8/20us 55V 7A@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 1 | Est. unit price: | $0.0347 | Min: 247 | Total: $8.57 | Pre-order | Use the Parts Calculator to determine the quantities you need to purchase.
C20615828	H36VLT2B	H36VLT2B | C20615828 | Extended | 18pF 1uA 300W@8/20us 36V 45V 4A@8/20us 75V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 7420 | 1+ | 3000+ | $0.0258 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615829	SRV05-4A	SRV05-4A | C20615829 | Extended | -55℃~+155℃ 0.5pF、1pF 15V 4A@8/20us 5V 5uA 6V 80W@8/20us ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOT-23-6L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 31887 | 1+ | 3000+ | $0.0235 | Show More | Idle parts available | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20615830	H5VUT3UA	H5VUT3UA | C20615830 | Extended | -55℃~+125℃ 0.4pF、0.8pF 15V 500nA 5A@8/20us 5V 6V 75W@8/20us ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOT-363 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 17121 | 1+ | 3000+ | $0.0417 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.07 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617908	H3V3U06B	H3V3U06B | C20617908 | Extended | -55℃~+125℃ 0.5pF 125W@8/20us 200nA 25V 3.3V 5A@8/20us 9V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN0603-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 27476 | 1+ | 15000+ | $0.0101 | Show More | Min: 1 | Full Reel: 15000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617909	H3V3N10B	H3V3N10B | C20617909 | Extended | -55℃~+125℃ 10V 12.5pF 3.3V 50nA 6V 80W@8/20us 8A@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 15478 | 1+ | 10000+ | $0.0071 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617910	H4S5N10B	H4S5N10B | C20617910 | Extended | -55℃~+125℃ 100nA 100pF 15V 4.5V 5.5V 55A@8/20us 825W@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 8624 | 1+ | 10000+ | $0.0203 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617911	H5VS10BA	H5VS10BA | C20617911 | Extended | -55℃~+125℃ 10V 200nA 3.5A@8/20us 35W@8/20us 5.5pF 5V 8V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 31715 | 1+ | 10000+ | $0.0055 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.01 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617912	H24VL10B	H24VL10B | C20617912 | Extended | -55℃~+125℃ 200nA 20pF 24V 31V 480W@8/20us 60V 8A@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 282001 | 1+ | 10000+ | $0.0142 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617913	H5VH16U	H5VH16U | C20617913 | Extended | -55℃~+125℃ 1.95kW@8/20us 130A@8/20us 15V 1nF 1uA 5V 6V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional DFN1610-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 12172 | 1+ | 3000+ | $0.0267 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617914	H20VH16U	H20VH16U | C20617914 | Extended | -55℃~+125℃ 1.2kW@8/20us 20V 25.2V 32A@8/20us 38V 500nA 60pF ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional DFN1610-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 4169 | 1+ | 3000+ | $0.0242 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617915	H3V3HD3B	H3V3HD3B | C20617915 | Extended | -55℃~+155℃ 100pF 17V 25A@8/20us 3.3V 375W@8/20us 500nA 8V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 194630 | 1+ | 3000+ | $0.0151 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617916	H4V5HD3U	H4V5HD3U | C20617916 | Extended | -55℃~+125℃ 185A@8/20us 2.775kW@8/20us 200nA 4.5V 600pF 7V 7V、15V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOD-323 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 335 | Est. unit price: | $0.0402 | Min: 214 | Total: $8.60 | Pre-order | Use the Parts Calculator to determine the quantities you need to purchase.
C20617917	H5VHD3UA	H5VHD3UA | C20617917 | Extended | -55℃~+125℃ 130A@8/20us 16V 1uA 2.08kW@8/20us 5V 850pF 9V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOD-323 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 2621 | 1+ | 3000+ | $0.0280 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617918	H5VHD3U	H5VHD3U | C20617918 | Extended | -55℃~+125℃ 14V 185pF 200nA 25A@8/20us 350W@8/20us 5V 9V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOD-323 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 78070 | 1+ | 3000+ | $0.0124 | Show More | Idle parts available | Min: 1 | Full Reel: 3000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617919	H12VHD3U	H12VHD3U | C20617919 | Extended | -55℃~+125℃ 1.26kW@8/20us 12V 15V 200nA 35A@8/20us 36V 85pF ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOD-323 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 13489 | 1+ | 3000+ | $0.0124 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617920	H12VND3B	H12VND3B | C20617920 | Extended | -55℃~+155℃ 1.26kW@8/20us 12V 16.5V 1uA 35A@8/20us 36V 50pF Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 21485 | 1+ | 3000+ | $0.0132 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617921	H5VUD5U	H5VUD5U | C20617921 | Extended | -55℃~+125℃ 0.8pF 15V 200nA 5A@8/20us 5V 75W@8/20us 9V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOD-523 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 25296 | 1+ | 8000+ | $0.0105 | Show More | Min: 1 | Full Reel: 8000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617922	H12VND5U	H12VND5U | C20617922 | Extended | 100nA 12V 15A@8/20us 16V 24V 360W@8/20us 90pF ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOD-523 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 81421 | 1+ | 8000+ | $0.0107 | Show More | Min: 1 | Full Reel: 8000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617923	H3V3HT2B	H3V3HT2B | C20617923 | Extended | -55℃~+125℃ 100pF 15V 1uA 25A@8/20us 3.3V 350W@8/20us 7V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 42455 | 1+ | 3000+ | $0.0219 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617924	H3V3HT2U	H3V3HT2U | C20617924 | Extended | -55℃~+125℃ 14V 200pF 25A@8/20us 280W@8/20us 3.3V 500nA 7V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 18836 | 1+ | 3000+ | $0.0159 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617925	H5VNT2B	H5VNT2B | C20617925 | Extended | -55℃~+125℃ 100nA 12V 20pF 5V 8A@8/20us 8V 95W@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 115737 | 1+ | 3000+ | $0.0187 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617926	H5VHT2B	H5VHT2B | C20617926 | Extended | -55℃~+125℃ 16.7V 185pF 200nA 25A@8/20us 415W@8/20us 5V 8V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 2179 | 1+ | 3000+ | $0.0283 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617927	H12VNT2B	H12VNT2B | C20617927 | Extended | -55℃~+125℃ 1.26kW@8/20us 12V 16.5V 1uA 35A@8/20us 36V 60pF Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 3831 | 1+ | 3000+ | $0.0219 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C20617928	H15VNT2B	H15VNT2B | C20617928 | Extended | -55℃~+125℃ 15V 19V 200nA 25pF 300W@8/20us 38.5V 8A@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 5598 | 1+ | 3000+ | $0.0275 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C22395515	H12VS06B	H12VS06B | C22395515 | Extended | -55℃~+125℃ 12V 16.5V 24V 3.5A@8/20us 3.5pF 500nA 85W@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN0603-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 11915 | 1+ | 15000+ | $0.0114 | Show More | Min: 1 | Full Reel: 15000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C22395516	H24VN10U	H24VN10U | C22395516 | Extended | 100nA 220W@8/20us 24V 25pF 30V 44V 5A@8/20us ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 1750 | 1+ | 10000+ | $0.0156 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C22395517	H4V5H16U	H4V5H16U | C22395517 | Extended | -55℃~+125℃ 15V 185A@8/20us 2.775kW@8/20us 200nA 4.5V 650pF 7V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional DFN1610-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 65759 | 1+ | 3000+ | $0.0251 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C22395518	H4V5H22B	H4V5H22B | C22395518 | Extended | -55℃~+125℃ 1uA 280A@8/20us 4.5V 5.88kW@8/20us 650pF 6V 8.5V、21V Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 DFN2020-3L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 5915 | 1+ | 3000+ | $0.0510 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.09 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C22395519	H5VU10U	H5VU10U | C22395519 | Extended | -55℃~+155℃ 0.8pF 16V 200nA 55W@8/20us 5A@8/20us 5V 6V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 9899 | 1+ | 10000+ | $0.0096 | Show More | Min: 1 | Full Reel: 10000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C22395520	H5VUT1B	H5VUT1B | C22395520 | Extended | -55℃~+125℃ 0.3pF、0.6pF 15V 500nA 5A@8/20us 5V 6V 75W@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-5 SOT-143 ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 4783 | 1+ | 3000+ | $0.0299 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C41376086	SMF36A	SMF36A | C41376086 | Extended | -55℃~+150℃ 1 1uA 200W 3.44A 36V 44.2V 58.1V IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 16771 | 1+ | 3000+ | $0.0165 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C41376087	SMF13A	SMF13A | C41376087 | Extended | 1 13V 15.9V 1uA 200W 21.5V 9.3A IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 56514 | 1+ | 3000+ | $0.0147 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C41376088	SMF7.0A	SMF7.0A | C41376088 | Extended | -55℃~+150℃ 1 100uA 12V 16.67A 200W 7V 8.6V IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 25309 | 1+ | 3000+ | $0.0147 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C41376089	SMF6.5A	SMF6.5A | C41376089 | Extended | -55℃~+150℃ 1 11.2V 17.86A 200W 250uA 6.5V 7.98V IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 34918 | 1+ | 3000+ | $0.0155 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C41376090	SMF26A	SMF26A | C41376090 | Extended | -55℃~+150℃ 1 1uA 200W 26V 31.9V 4.8A 42.1V IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 130387 | 1+ | 3000+ | $0.0152 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C41376091	SMF28A	SMF28A | C41376091 | Extended | 1 1uA 200W 28V 34.4V 4.41A 45.4V IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 3684 | 1+ | 3000+ | $0.0168 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C41376092	SMF60CA	SMF60CA | C41376092 | Extended | -55℃~+150℃ 1uA 2 2.1A 200W 60V 73.7V 96.8V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 115217 | 1+ | 3000+ | $0.0171 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
