c_number	mpn	row_text
C8847	SMBJ190CA	SMBJ190CA | C8847 | Extended | -55℃~+150℃ 190V 1uA 243.2V 2A 308V 600W@10/1000us Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 3050 | 1+ | 3000+ | $0.0478 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.09 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8848	SMBJ13CA	SMBJ13CA | C8848 | Extended | -55℃~+150℃ 13V 16.5V 1uA 21.5V 27.9A@10/1000us 600W@10/1000us Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 3147 | 1+ | 3000+ | $0.0526 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.09 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077500	SMF6.0CA	SMF6.0CA | C19077500 | Extended | -55℃~+150℃ 1 10.3V 19.4A@10/1000us 200W@10/1000us 400uA 6V 7.37V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 757707 | 1+ | 3000+ | $0.0163 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077501	SMF6.5CA	SMF6.5CA | C19077501 | Extended | -55℃~+150℃ 1 11.2V 17.9A@10/1000us 200W@10/1000us 250uA 6.5V 7.98V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 1238766 | 1+ | 3000+ | $0.0165 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077502	SMF7.0CA	SMF7.0CA | C19077502 | Extended | -55℃~+150℃ 100uA 12V 16.7A@10/1000us 200W@10/1000us 7V 8.6V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 135778 | 1+ | 3000+ | $0.0160 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077503	SMF7.5CA	SMF7.5CA | C19077503 | Extended | -55℃~+150℃ 12.9V 15.5A@10/1000us 200W@10/1000us 50uA 7.5V 9.21V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 30141 | 1+ | 3000+ | $0.0160 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077504	SMF9.0CA	SMF9.0CA | C19077504 | Extended | -55℃~+150℃ 11.1V 13A@10/1000us 15.4V 200W@10/1000us 5uA 9V Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 50926 | 1+ | 3000+ | $0.0162 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077505	SMF10CA	SMF10CA | C19077505 | Extended | -55℃~+150℃ 10V 11.8A@10/1000us 12.3V 17V 2.5uA 200W@10/1000us Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 314782 | 1+ | 3000+ | $0.0151 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077506	SMF12A	SMF12A | C19077506 | Extended | -55℃~+150℃ 10.1A@10/1000us 12V 14.7V 19.9V 2.5uA 200W@10/1000us IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 159181 | 1+ | 3000+ | $0.0152 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077507	SMF12CA	SMF12CA | C19077507 | Extended | -55℃~+150℃ 10.1A@10/1000us 12V 14.7V 19.9V 2.5uA 200W@10/1000us Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 342576 | 1+ | 3000+ | $0.0149 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077508	SMF13CA	SMF13CA | C19077508 | Extended | -55℃~+150℃ 13V 15.9V 1uA 200W@10/1000us 21.5V 9.3A@10/1000us Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 280231 | 1+ | 3000+ | $0.0152 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077509	SMF15A	SMF15A | C19077509 | Extended | -55℃~+150℃ 1 15V 18.5V 1uA 200W@10/1000us 24.4V 8.2A@10/1000us IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 142608 | 1+ | 3000+ | $0.0152 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077510	SMF15CA	SMF15CA | C19077510 | Extended | -55℃~+150℃ 1 15V 18.5V 1uA 200W@10/1000us 24.4V 8.2A@10/1000us Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 8684308 | 1+ | 3000+ | $0.0152 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077511	SMF16CA	SMF16CA | C19077511 | Extended | -55℃~+150℃ 1 16V 19.7V 1uA 200W@10/1000us 26V 7.7A@10/1000us Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 125531 | 1+ | 3000+ | $0.0145 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077512	SMF18A	SMF18A | C19077512 | Extended | -55℃~+150℃ 18V 1uA 200W@10/1000us 22.1V 29.2V 6.8A@10/1000us IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 57784 | 1+ | 3000+ | $0.0151 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077513	SMF18CA	SMF18CA | C19077513 | Extended | 1 18V 1uA 200W@10/1000us 22.1V 29.2V 6.8A@10/1000us Bidirectional IEC 61000-4-2 TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 340310 | 1+ | 3000+ | $0.0153 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077514	SMF24A	SMF24A | C19077514 | Extended | -55℃~+150℃ 1 1uA 200W@10/1000us 24V 29.5V 38.9V 5.1A@10/1000us IEC 61000-4-2 TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 303135 | 1+ | 3000+ | $0.0153 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
